Project,Project ID,Ship ID,Payout amount,elo,global elo max,global elo min,elo percentile,project vote count
Password Strength Tester,3383,403,32.0,957,1430,754,0.30029585798816566,126
SOMPS,3392,563,314.0,1319,1430,754,0.8357988165680473,123
SOMPS,3392,701,236.0,1319,1430,754,0.8357988165680473,123
Boba Drops,3434,707,1.0,879,1407,809,0.11705685618729098,74
Chess Clash: Local Edition,3440,444,52.0,1026,1391,813,0.3685121107266436,60
Personal Website,3455,571,3.0,952,1420,806,0.23778501628664495,84
Personal Website,3460,860,69.0,1032,1420,798,0.3762057877813505,88
QRBattle,3466,528,65.0,1077,1328,922,0.3817733990147783,20
Focus Tracker,3467,572,5.0,994,1430,798,0.310126582278481,91
Cold Emailer,3468,586,51.0,1013,1430,750,0.38676470588235295,144
Pirate Play,3480,540,36.0,1144,1346,839,0.6015779092702169,45
Block Breaker Game,3483,816,140.0,1129,1340,913,0.5058548009367682,24
Movie Genres Preference Tester,3492,430,14.0,909,1364,813,0.17422867513611615,55
Personal-Portfolio,3497,433,56.0,1040,1430,769,0.40998487140695916,107
Portfolio Website,3501,652,65.0,1091,1420,798,0.47106109324758844,87
2030 Time Capsule ,3541,510,14.0,1023,1430,750,0.40147058823529413,156
Space Shooter Game,3554,518,19.0,1205,1340,913,0.6838407494145199,27
Full Webiste for Builder's Group's,3555,448,12.0,956,1430,787,0.26283048211508553,102
SIRIN-Alpha,3556,470,23.0,1230,1430,750,0.7058823529411765,178
Red Panda - The Zoo Demo,3588,697,226.0,1205,1420,806,0.6498371335504886,80
Memory Master Game,3594,459,46.0,1120,1340,897,0.5033860045146726,34
javascript note app,3667,923,30.0,1053,1334,913,0.332541567695962,23
Christmas Time Capsule,3679,479,7.0,940,1430,750,0.27941176470588236,145
GhostCDN,3698,761,468.0,1218,1430,754,0.6863905325443787,125
Muisckm,3707,485,25.0,1022,1430,750,0.4,141
Neopedia,3717,488,65.0,1110,1381,813,0.522887323943662,58
Neopedia,3717,623,5.0,1110,1381,813,0.522887323943662,58
Beautiful Chess,3718,495,28.0,1085,1346,860,0.46296296296296297,40
Image Editor,3730,492,32.0,1045,1340,913,0.3091334894613583,27
Beat Maker,3746,647,138.0,1143,1340,913,0.5386416861826698,24
My Personal Homepage,3755,867,5.0,853,1420,809,0.07201309328968904,78
Roulette,3773,608,157.0,1071,1420,806,0.43159609120521175,84
Unitime,3822,615,205.0,1119,1430,750,0.5426470588235294,143
Typing Speed Tester,3833,575,154.0,1216,1430,754,0.6834319526627219,114
Chrono Capsule,3842,973,416.0,1158,1394,809,0.5965811965811966,70
Thunder store,3910,1193,52.0,1087,1328,913,0.41927710843373495,21
Data structures and Algorithms quiz website,3914,638,121.0,1125,1340,890,0.5222222222222223,35
Pokemon of the day,3915,1063,175.0,1189,1394,809,0.6495726495726496,67
Glyph: Terminal-based Social Media,3937,805,197.0,1231,1430,754,0.7056213017751479,121
Solar System,3945,544,46.0,1218,1340,864,0.7436974789915967,39
My website,3951,786,112.0,1129,1340,899,0.5215419501133787,32
Personal Website,3980,967,23.0,963,1430,789,0.2714508580343214,93
Moaz Website generator,3984,587,136.0,1113,1430,752,0.532448377581121,137
Counter Down,3996,1087,15.0,1136,1340,899,0.5374149659863946,32
My 3D City,4010,565,34.0,1065,1430,754,0.46005917159763315,115
2006.css,4014,603,93.0,1256,1430,750,0.7441176470588236,145
About Me Portfolio,4031,570,7.0,887,1430,754,0.19674556213017752,116
Multi Unit Converter,4043,996,51.0,1091,1340,913,0.4168618266978923,27
Certitimer,4071,602,64.0,1228,1430,754,0.7011834319526628,118
Ahaana Portfolio,4076,584,24.0,1177,1430,750,0.6279411764705882,154
Pirate Translator Hacklet,4080,983,239.0,1198,1402,809,0.6559865092748736,73
TIC TAK TOE,4086,820,4.0,987,1324,932,0.14030612244897958,19
about://me,4090,598,90.0,1150,1430,787,0.5645412130637636,96
To Do App,4097,596,18.0,904,1394,809,0.1623931623931624,71
PollyGlot,4110,600,21.0,1076,1394,813,0.45266781411359724,66
Venixxino,4115,956,91.0,1233,1430,798,0.6882911392405063,90
SoM Leaderboard,4120,822,201.0,1330,1430,754,0.8520710059171598,127
Pizza Clicker Game,4130,813,12.0,1180,1346,846,0.668,42
easy webdev task,4134,611,3.0,935,1420,798,0.2202572347266881,88
do it!,4148,729,255.0,1182,1340,890,0.6488888888888888,35
orpheus,4165,1013,66.0,1066,1420,809,0.4206219312602291,78
gurt.party,4177,641,15.0,917,1399,809,0.18305084745762712,72
Calculator,4192,627,22.0,962,1349,822,0.2656546489563567,53
Number System Converter,4203,841,53.0,1169,1420,809,0.5891980360065466,78
Waffle lob site,4226,645,6.0,1011,1430,789,0.3463338533541342,93
Lattice,4232,891,102.0,1144,1328,913,0.5566265060240964,22
2048,4242,734,74.0,1061,1349,822,0.45351043643263755,53
3d Cube Web,4244,656,16.0,1031,1430,775,0.39083969465648855,106
Some Really Cool Buttons,4248,651,2.0,1003,1340,890,0.2511111111111111,35
calculator ,4283,926,21.0,898,1430,754,0.21301775147928995,120
Dodgy Dave Stocks,4293,665,10.0,1045,1340,890,0.34444444444444444,35
Personal Site,4307,724,90.0,1094,1430,789,0.47581903276131043,93
